waiting_times,avg_speeds,queue_lengths,travel_times,stopped_vehicles
23.73913043478261,14.243011469207737,23,146.1761102603369,23
28.115384615384617,33.644427268874615,26,147.11764705882354,26
26.25,9.41606351303019,40,147.10746268656717,40
34.0,14.45171204950082,43,146.70962962962963,43
40.319148936170215,19.74223031528223,47,146.6691285081241,47
41.47457627118644,13.46492613026536,59,148.24486803519062,59
60.9,16.446693181864898,30,147.99854227405248,30
65.78125,28.464411625124058,32,147.15028901734104,32
84.07142857142857,25.257349185194062,28,147.02305475504323,28
78.44117647058823,18.865191637859514,34,146.95558739255014,34
93.15625,8.489472189014661,32,147.68413597733712,32
87.42105263157895,19.875166599582975,38,147.5112676056338,38
94.71794871794872,32.319358635176826,39,147.52601969057665,39
107.21052631578948,29.32472265853825,38,147.22625698324023,38
96.0,35.52271536096058,47,147.18270571827057,47
112.97674418604652,35.22989440675362,43,146.75694444444446,43
120.27272727272727,7.731490681310711,44,146.49030470914127,44
137.97560975609755,39.782133208726364,41,146.19283746556474,41
147.97560975609755,20.487438580482944,41,146.0315500685871,41
132.51020408163265,22.7519298718689,49,145.96169630642956,49
160.2093023255814,24.336947714790643,43,145.35918367346937,43
159.47826086956522,20.694328476101443,46,145.06241519674356,46
125.07692307692308,20.588486703184383,26,144.4051144010767,26
84.45161290322581,11.835448530502857,31,144.4051144010767,31
59.294117647058826,16.273561664743767,51,144.05630026809652,51
73.1470588235294,12.86431527434681,34,144.22769640479362,34
138.08333333333334,23.206485637496513,12,144.00531208499336,12
122.35714285714286,16.730503169991426,14,144.72200263504612,14
85.81818181818181,23.581880431720606,22,145.13219895287958,22
49.310344827586206,9.133905692319331,29,144.78283485045515,29
5.0,6.82525662499884,9,145.2712082262211,9
9.090909090909092,22.29829295779057,11,144.97826086956522,11
15.692307692307692,18.245827546134404,13,146.50506329113924,13
17.0,21.682894707924525,19,148.82875,19
13.53191489361702,20.64113528293154,47,151.89079754601227,47
